date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:36:05	252/252	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-fc%22	https://html.awaikenthemes.com/infine/images/accent-arrow.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/accent-arrow.svg	(from https://html.awaikenthemes.com/infine/css/custom.css)
17:36:06	1212/1212	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-4bc%22	https://html.awaikenthemes.com/infine/images/icon-blockquote.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/icon-blockquote.svg	(from https://html.awaikenthemes.com/infine/css/custom.css)
17:36:07	969/969	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-3c9%22	https://html.awaikenthemes.com/infine/images/blockquote.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/blockquote.svg	(from https://html.awaikenthemes.com/infine/css/custom.css)
17:36:07	1049/1049	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-419%22	https://html.awaikenthemes.com/infine/images/icon-our-mission.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/icon-our-mission.svg	(from https://html.awaikenthemes.com/infine/about.html)
17:36:07	280133/280133	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b35-44645%22	https://html.awaikenthemes.com/infine/images/hero-bg-2.jpg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/hero-bg-2.jpg	(from https://html.awaikenthemes.com/infine/index-slider.html)
17:36:07	1039/1039	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-40f%22	https://html.awaikenthemes.com/infine/images/icon-our-vision.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/icon-our-vision.svg	(from https://html.awaikenthemes.com/infine/about.html)
17:36:08	1187/1187	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-4a3%22	https://html.awaikenthemes.com/infine/images/icon-our-value.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/icon-our-value.svg	(from https://html.awaikenthemes.com/infine/about.html)
17:36:08	37030/37030	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-90a6%22	https://html.awaikenthemes.com/infine/images/contact-now-circle.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/contact-now-circle.svg	(from https://html.awaikenthemes.com/infine/about.html)
17:36:09	5611/5611	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c69b35-15eb%22	https://html.awaikenthemes.com/infine/images/company-logo-1.svg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/company-logo-1.svg	(from https://html.awaikenthemes.com/infine/about.html)
17:36:09	257094/257094	---M--	200	added ('OK')	image/jpeg	etag:%2267c69b35-3ec46%22	https://html.awaikenthemes.com/infine/images/our-approach-img.jpg	C:/My%20Web%20Sites/lakshmi-plastic%20-%204%20-%20landing%20page%20with%20video/html.awaikenthemes.com/infine/images/our-approach-img.jpg	(from https://html.awaikenthemes.com/infine/about.html)
